State	X2020.12.12	X2020.12.13	X2020.12.14	X2020.12.15	X2020.12.16	X2020.12.17	X2020.12.18	X2020.12.19	X2020.12.20	X2020.12.21	X2020.12.22	X2020.12.23	X2020.12.24	X2020.12.25	X2020.12.26	X2020.12.27	X2020.12.28	X2020.12.29	X2020.12.30	X2020.12.31	X2021.01.01	X2021.01.02	X2021.01.03	X2021.01.04	X2021.01.05	X2021.01.06	X2021.01.07	X2021.01.08	X2021.01.09	X2021.01.10	X2021.01.11	X2021.01.12	X2021.01.13	X2021.01.14	X2021.01.15	X2021.01.16	X2021.01.17	X2021.01.18	X2021.01.19	X2021.01.20	X2021.01.21	X2021.01.22	X2021.01.23	X2021.01.24	X2021.01.25	X2021.01.26	X2021.01.27	X2021.01.28	X2021.01.29	X2021.01.30	X2021.01.31	X2021.02.01	X2021.02.02	X2021.02.03	X2021.02.04	X2021.02.05	X2021.02.06	X2021.02.07	X2021.02.08	X2021.02.09	X2021.02.10	X2021.02.11	X2021.02.12	X2021.02.13	X2021.02.14	X2021.02.15	X2021.02.16	X2021.02.17	X2021.02.18	X2021.02.19	X2021.02.20	X2021.02.21	X2021.02.22	X2021.02.23	X2021.02.24	X2021.02.25	X2021.02.26	X2021.02.27	X2021.02.28	X2021.03.01	X2021.03.02	X2021.03.03	X2021.03.04	X2021.03.05	X2021.03.06	X2021.03.07	X2021.03.08	X2021.03.09	X2021.03.10	X2021.03.11	X2021.03.12	X2021.03.13	X2021.03.14	X2021.03.15	X2021.03.16	X2021.03.17	X2021.03.18	X2021.03.19	X2021.03.20	X2021.03.21	X2021.03.22	X2021.03.23	X2021.03.24	X2021.03.25	X2021.03.26	X2021.03.27	X2021.03.28	X2021.03.29	X2021.03.30	X2021.03.31	X2021.04.01	X2021.04.02	X2021.04.03	X2021.04.04	X2021.04.05	X2021.04.06	X2021.04.07	X2021.04.08	X2021.04.09	X2021.04.10	X2021.04.11	X2021.04.12	X2021.04.13	X2021.04.14	X2021.04.15	X2021.04.16	X2021.04.17	X2021.04.18	X2021.04.19	X2021.04.20	X2021.04.21	X2021.04.22	X2021.04.23	X2021.04.24	X2021.04.25	X2021.04.26	X2021.04.27	X2021.04.28	X2021.04.29	X2021.04.30	X2021.05.01	X2021.05.02	X2021.05.03	X2021.05.04	X2021.05.05	X2021.05.06	X2021.05.07	X2021.05.08	X2021.05.09	X2021.05.10
Nevada	2511	2544	2576	2608	2640	2672	2704	2735	2765	2796	2827	2857	2887	2917	2948	2978	3008	3038	3068	3097	3127	3156	3185	3213.5	3243	3271	3299.5	3328	3355.5	3383	3412	3440	3468	3497	3525	3552.5	3581	3609	3635	3664	3691	3717	3746	3773	3800	3828	3854	3881.5	3909	3935	3961	3988	4014	4042	4069	4096	4122	4149	4179.5	4203	4230	4258	4284	4310	4334	4359	4385	4412.5	4439	4464.5	4489	4516	4542	4569	4593	4620.5	4647	4670.5	4700	4724	4750	4777	4803.5	4829	4856	4881.5	4907.5	4934	4959.5	4986	5012	5036	5062	5087.5	5116	5142	5167	5193	5219	5247	5272	5297	5322	5348	5373	5399	5425.5	5452.5	5478	5501.5	5526.5	5551	5579	5605	5629.5	5656	5679	5704.5	5733	5756	5781	5806.5	5833	5857.5	5886	5909.5	5935	5959	5985	6007	6034	6060	6086	6113	6134	6160.5	6188	6213.5	6241.5	6267	6292.5	6318.5	6345	6370	6396	6420	6445.5	6471	6498	6525
NewHampshire	598	606	614	622	631	639	648	656	665	674	683	693	702	711	721	730	739	749	759	769	778	788	797	808	816	826	836	846	856	866	876	885	896	906	916	926	936	947	958	968	978	988	998	1008	1018	1029	1039	1049	1060	1070	1079.5	1091	1101	1111	1122	1131	1141	1153	1165	1175	1185	1196	1206	1217.5	1227	1238	1247	1257	1269	1280	1290	1299.5	1310	1320	1330	1341	1352	1362.5	1374	1383	1393.5	1403	1414	1426.5	1436	1447	1458.5	1468.5	1479	1490	1499	1510	1521	1531	1540.5	1550.5	1561	1571.5	1582	1592.5	1601	1612	1626	1636	1646	1656	1667.5	1679	1690	1700	1711	1721.5	1733.5	1742.5	1752	1762.5	1773	1783	1792	1804	1814	1824	1835.5	1845	1856	1866.5	1877	1888	1899	1911	1920	1931	1940	1949.5	1959	1970	1979	1990	2001.5	2011	2022	2034	2044	2054	2065	2075.5	2085	2096	2105	2116
NewJersey	17727	17791	17855	17918	17981	18044	18105.5	18168	18228	18290	18350	18410	18469	18527	18585.5	18645	18702	18759	18816	18871	18927	18984	19039	19095	19149	19204	19257	19313	19365	19420	19472	19527	19578	19631	19681	19733	19783	19839	19886.5	19938	19990	20042.5	20092	20143.5	20194	20243	20291	20344.5	20392	20440.5	20492.5	20541.5	20591	20640	20689.5	20736	20786.5	20837.5	20886.5	20936	20979.5	21030	21078	21129	21177	21226.5	21272	21322	21372.5	21421	21468.5	21514.5	21561.5	21612	21659	21706	21758	21801	21845	21896.5	21944.5	21991.5	22037.5	22087	22138	22183	22226.5	22275.5	22320	22367	22416	22466	22514	22555	22604.5	22651.5	22701	22745	22794	22841.5	22883.5	22929.5	22974.5	23022.5	23071	23115.5	23165	23214	23264	23308.5	23357	23400	23445.5	23495.5	23546.5	23586	23635.5	23681	23726.5	23768	23818	23861	23907	23952	24001.5	24050	24095	24132.5	24181.5	24228.5	24276.5	24322	24366.5	24413	24460.5	24506	24549.5	24592.5	24644	24690.5	24737.5	24784.5	24835.5	24876.5	24921.5	24974	25019	25064	25107.5	25157.5
NewMexico	1925	1959	1994.5	2030	2066	2101	2136	2171	2205	2239	2272	2306	2341	2374	2408	2442	2475	2508	2541	2574	2606	2639	2671	2704	2735	2767	2798	2829	2862	2894	2925	2958	2990	3022	3052	3085	3116	3146.5	3179	3209	3240	3272	3303	3332	3364	3392	3421	3453	3483	3513	3544	3576	3606	3636	3666	3696	3727	3756	3787	3816.5	3846	3878	3909	3938	3971	3999	4029	4055	4086.5	4115	4145.5	4173	4204	4230.5	4259.5	4290.5	4319	4348	4375	4405	4436.5	4466	4493.5	4522.5	4553	4582	4612	4641	4671	4703	4730	4759	4785	4815.5	4844	4872	4904.5	4932	4961	4989.5	5016.5	5044	5076	5107	5134	5163.5	5195	5224.5	5251	5278	5307.5	5338.5	5366.5	5396	5427	5455.5	5485	5512.5	5542	5573.5	5600.5	5628.5	5659.5	5684	5712	5742	5768	5796.5	5826.5	5853	5886	5911.5	5938.5	5972	5999	6027	6053.5	6079	6106.5	6133.5	6160.5	6189	6218	6247.5	6273.5	6304.5	6331.5	6359.5	6388	6416
NewYork	35460	35562	35666	35768	35871	35971	36071	36171	36270	36370	36468	36567	36664	36761.5	36857	36954	37050	37142.5	37238	37332	37423	37517	37611	37702	37792	37888	37979	38069	38157	38248	38338	38429	38518	38609	38698	38786	38872.5	38957	39050	39139.5	39228.5	39314.5	39399	39486	39578	39658.5	39747.5	39834	39914.5	40002	40082	40169	40259.5	40345	40427	40511.5	40595.5	40680	40769	40852.5	40939	41021	41106	41189	41274.5	41357	41443	41520.5	41603.5	41685	41773	41853.5	41934.5	42013	42099	42187	42269	42352.5	42432.5	42518.5	42599.5	42677	42760	42838	42922	43000.5	43085.5	43171.5	43251.5	43341	43421.5	43504	43586.5	43665.5	43754.5	43833	43917.5	43996.5	44074	44162.5	44244	44321	44403	44487.5	44563	44643.5	44723	44810.5	44891	44975.5	45056	45136	45217	45299.5	45384	45461	45535	45624.5	45701	45777	45864.5	45952.5	46036.5	46120	46202.5	46284.5	46363	46452.5	46533	46616.5	46694.5	46774.5	46857.5	46935	47014.5	47095	47171.5	47256	47333.5	47414.5	47501	47578.5	47650.5	47736	47813	47903	47981.5	48062.5	48142	48221
NorthCarolina	5803	5855	5908	5961.5	6016	6070	6124	6178	6234	6289	6345	6401	6456.5	6513	6569	6626	6684.5	6740	6799	6857	6915	6972	7031	7089	7147	7205	7263.5	7322	7382	7440	7500	7558.5	7616	7675	7735	7797	7855	7913.5	7973	8034	8091	8150	8211	8271.5	8335	8393	8453.5	8513.5	8572	8633.5	8691	8749	8809.5	8870	8930	8987	9048.5	9107	9166.5	9226.5	9286.5	9345.5	9407.5	9468.5	9529.5	9589	9646	9707	9767	9822.5	9882	9946	10006	10065.5	10124.5	10187.5	10244	10302	10365	10421	10481	10537.5	10598	10654.5	10715	10774.5	10833	10898	10956.5	11014.5	11073.5	11137.5	11194.5	11253	11310.5	11371.5	11433.5	11488	11552	11613	11671.5	11729.5	11790	11850	11912	11968	12027	12087	12148	12209	12265	12322	12390	12445.5	12509	12562	12623	12684	12740.5	12804	12861.5	12923.5	12975.5	13037	13093	13154	13211.5	13271	13330	13387.5	13452	13515	13572.5	13629	13687.5	13748	13804	13866	13920.5	13984	14045	14100.5	14160.5	14217	14280	14330	14387.5	14447.5	14504.5	14564
NorthDakota	1150	1170	1190	1212	1233	1254	1276	1298	1320.5	1344	1366	1389	1412	1435	1458	1481	1505	1529	1552	1576	1600	1624	1648	1672	1696	1720	1744	1768	1793	1818	1842	1867	1891	1915.5	1940	1964	1989	2013	2038	2063	2087.5	2113	2137	2162	2187	2213	2237.5	2261	2287	2311	2336	2361	2386	2411.5	2436.5	2462	2486	2512	2537	2561	2586.5	2611	2636.5	2661.5	2685.5	2709	2735	2761	2785.5	2811	2836	2860.5	2884.5	2910	2935	2961	2985.5	3011.5	3035	3061	3086.5	3111	3137	3162	3188	3213	3238	3262.5	3287	3312	3336	3361.5	3386	3411	3435.5	3462	3486	3510	3534	3559	3584	3608	3634	3658.5	3684.5	3709	3733.5	3757	3784	3807	3830.5	3856	3881	3906	3931	3956.5	3980.5	4005	4029	4055	4079	4104	4130.5	4153.5	4178.5	4202.5	4227.5	4251	4276	4303.5	4326.5	4352	4377.5	4402	4425	4451.5	4476	4501.5	4526	4548.5	4574.5	4598.5	4624	4650	4674.5	4700	4723	4744.5	4771	4795
Ohio	7535	7643	7754	7867	7979	8093	8208	8321	8437	8551	8668	8783	8900	9019	9137	9257	9377	9496	9615	9734	9854.5	9970	10090	10211.5	10332	10449	10569	10691	10815	10934.5	11054	11178.5	11300	11419	11541.5	11659.5	11783	11906.5	12025	12148.5	12269	12390.5	12517	12637.5	12757.5	12879	12995.5	13119	13244.5	13367	13486	13609.5	13735	13860	13986.5	14107	14230	14345	14470	14594.5	14716	14842	14962	15082	15200.5	15328.5	15450.5	15576	15698	15824.5	15940.5	16062.5	16186	16308.5	16433	16553	16676.5	16794	16910	17039	17158	17277	17402.5	17531	17649	17767.5	17889	18017.5	18142	18265.5	18383.5	18507	18629.5	18745	18869	18990.5	19112	19235	19358.5	19476	19602	19728.5	19847	19972	20087	20209.5	20327.5	20451	20566.5	20691	20817.5	20928.5	21044.5	21166	21296	21423	21532	21652	21774	21903	22018	22148	22265	22389.5	22505.5	22616.5	22747.5	22864	22977	23086.5	23224.5	23335	23452	23576	23695	23807	23930	24058.5	24175	24291	24420	24537	24662.5	24771	24888	25008.5	25129.5	25253	25368	25490
Oklahoma	2037	2066	2096	2127	2158	2190	2222	2254	2287	2319	2352	2385	2418	2451	2485	2518	2552	2585	2619	2653	2689	2723	2758	2793	2828	2863	2899	2934	2969	3003	3038.5	3074.5	3109	3147	3183.5	3220	3257	3291	3327	3362	3397	3432	3468	3504	3541	3576	3612.5	3650	3686	3721	3759	3795	3831	3865	3901	3939	3977.5	4015	4051	4086	4118.5	4155.5	4192	4231	4267	4301	4336.5	4375	4410.5	4445	4485.5	4521	4559.5	4594	4630.5	4668.5	4704	4741.5	4777	4815	4851	4883.5	4921	4958	4995.5	5032	5065.5	5105	5137.5	5174	5211	5246	5283	5318.5	5356.5	5393	5427	5465	5502.5	5536	5575.5	5610.5	5646	5686	5720.5	5758	5795	5831	5867	5906	5941	5972.5	6008.5	6042	6080	6118	6147.5	6184.5	6220	6256	6294.5	6326.5	6364	6394.5	6433.5	6465.5	6503	6540	6579.5	6615.5	6651	6687.5	6725	6761.5	6795	6831.5	6864.5	6899.5	6938	6972	7007	7041	7077	7114.5	7152.5	7186	7219	7258	7292	7330.5
Oregon	1163	1187	1211	1237	1261	1285	1309	1332	1354	1378	1400	1423	1446	1466	1489	1511	1532	1553	1574	1595	1617	1637	1657	1678	1698	1719	1738	1757	1778	1797	1816	1837	1855	1875	1894	1913	1932	1953	1970.5	1989	2007	2025	2046	2063	2081	2099	2118	2135	2153	2170.5	2189	2207	2225	2242	2261	2278.5	2297	2316	2333	2352	2371	2388	2406	2422.5	2439	2456	2474	2488.5	2506.5	2523	2540.5	2558.5	2574.5	2595.5	2613	2632	2648.5	2663.5	2680.5	2696	2715	2731	2748	2762	2780.5	2798	2817	2833.5	2850	2867	2883	2899.5	2915	2930.5	2952	2967	2986	3001.5	3020.5	3035	3054	3070	3086	3104.5	3122	3138.5	3155	3171	3187	3207	3222	3237	3256	3273	3287	3306	3319	3337	3354	3373.5	3390	3409.5	3424	3438.5	3455	3469	3485.5	3502	3521.5	3537.5	3557	3572.5	3592	3607	3625	3636.5	3657	3673	3689	3707	3724	3739	3758	3774.5	3791.5	3807	3819.5	3835.5	3852.5	3865
